fs,cv,or1,at,ng,oa,or2,elapsed_time
1,1,1,1,1,1,0,0.9530555555555555
1,1,1,1,0,1,0,0.8394444444444444
1,0,1,1,1,1,0,0.2288888888888889
1,0,1,1,0,1,0,0.1897222222222222
1,1,1,0,1,1,0,0.6558333333333334
1,1,1,0,0,1,0,0.535
1,0,1,0,1,1,0,0.16527777777777777
1,0,1,0,0,1,0,0.1336111111111111
1,1,1,1,1,0,0,6.363333333333333
1,1,1,1,0,0,0,6.323611111111111
1,0,1,1,1,0,0,1.3241666666666667
1,0,1,1,0,0,0,1.2863888888888888
1,1,1,0,1,0,0,2.9450000000000003
1,1,1,0,0,0,0,3.4383333333333335
1,0,1,0,1,0,0,0.6416666666666666
1,0,1,0,0,0,0,0.7758333333333334
1,1,0,1,1,1,1,0.9963888888888889
1,1,0,1,0,1,1,0.8141666666666667
1,0,0,1,1,1,1,0.2361111111111111
1,0,0,1,0,1,1,0.19277777777777777
1,1,0,0,1,1,1,0.6652777777777777
1,1,0,0,0,1,1,0.53
1,0,0,0,1,1,1,0.16527777777777777
1,0,0,0,0,1,1,0.13083333333333333
1,1,0,1,1,0,1,6.4575000000000005
1,1,0,1,0,0,1,6.288055555555555
1,0,0,1,1,0,1,1.3097222222222222
1,0,0,1,0,0,1,1.3191666666666666
1,1,0,0,1,0,1,3.104166666666667
1,1,0,0,0,0,1,3.6791666666666667
1,0,0,0,1,0,1,0.6588888888888889
1,0,0,0,0,0,1,0.7266666666666667
1,1,0,1,1,1,0,1.0805555555555555
1,1,0,1,0,1,0,0.9483333333333334
1,0,0,1,1,1,0,0.2625
1,0,0,1,0,1,0,0.20500000000000002
1,1,0,0,1,1,0,0.7247222222222223
1,1,0,0,0,1,0,0.5652777777777778
1,0,0,0,1,1,0,0.19055555555555553
1,0,0,0,0,1,0,0.14333333333333334
1,1,0,1,1,0,0,7.046388888888889
1,1,0,1,0,0,0,7.065277777777777
1,0,0,1,1,0,0,1.4683333333333335
1,0,0,1,0,0,0,1.4252777777777779
1,1,0,0,1,0,0,3.450555555555556
1,1,0,0,0,0,0,3.806111111111111
1,0,0,0,1,0,0,0.6819444444444444
1,0,0,0,0,0,0,0.7625
1,1,1,1,1,1,0,0.9508333333333333
0,0,1,0,0,1,0,2.0441666666666665
0,0,1,0,1,1,0,3.4538888888888892
0,1,1,0,0,1,0,10.554444444444446
0,1,1,0,1,1,0,17.296666666666667
0,0,1,1,0,1,0,2.2463888888888888
0,0,1,1,1,1,0,3.698055555555556
0,1,1,1,0,1,0,10.916666666666666
0,1,1,1,1,1,0,18.354166666666668
0,0,0,0,0,1,1,1.912222222222222
0,0,0,0,1,1,1,3.190555555555555
0,1,0,0,0,1,1,9.757222222222222
0,1,0,0,1,1,1,16.893333333333334
0,0,0,1,0,1,1,2.2713888888888887
0,0,0,1,1,1,1,3.5813888888888887
0,1,0,1,0,1,1,11.185555555555556
0,1,0,1,1,1,1,18.338055555555556
0,0,0,0,0,1,0,2.204166666666667
0,0,0,0,1,1,0,3.675
0,1,0,0,0,1,0,11.193888888888889
0,1,0,0,1,1,0,23.2275
0,0,0,1,0,1,0,2.9644444444444447
0,0,0,0,0,0,0,5.533611111111111
0,0,0,1,1,1,0,4.189444444444445
0,1,0,1,0,1,0,12.857777777777777
0,1,0,1,1,1,0,21.3375
0,0,1,0,0,0,0,4.792222222222222
0,0,1,0,1,0,0,7.109722222222222
0,1,1,0,0,0,0,24.40611111111111
0,1,1,0,1,0,0,35.15972222222222
0,0,1,1,0,0,0,5.636666666666666
0,0,1,1,1,0,0,7.911666666666667
0,1,1,1,0,0,0,27.968055555555555
